U,L
Everyone get close to everyone so you can touch someone.,give.statement
This is very serious. It's more serious than you can imagine.,give.opinion
Let's pray.,give.statement
"Father, we thank you for...",give.statement
"just being our God, and for all that you do.",give.statement
"We thank you for this day, and...",give.statement
"we thank you for the chill in this air, Father.",give.statement
"Because we thank you for the sunshine,",give.statement
because you create the chill and you create the sunshine.,give.statement
"And you know these are tough times, Father.",give.statement
We're asking this morning for your guidance.,give.statement
#NAME?,x
"We stand here today, with a plant that's closing,",give.statement
"with a... a deep, rich history, and,",give.statement
"it's sad for me and, I'm sure,",give.opinion
"everybody else in there to see it go,",give.opinion
but I will say this:,give.statement
I'm extremely proud of the people that work in this plant here.,give.opinion
There's none better.,give.opinion
They know how to get the job done.,give.opinion
#NAME?,x
No way. America was founded only 200 years ago.,give.statement
Oh.,give.statement
#NAME?,x
#NAME?,x
But this is really beautiful.,give.opinion
"Yeah, gorgeous.",respond.agree
"See, America's airspace is really busy.",give.opinion
There's one.,give.statement
And there.,give.statement
"When you take a look at an automobile,",give.statement
you see glass all around it.,give.statement
That's what we do.,give.statement
We have about 70% of the market.,give.statement
Okay? Which is pretty extensive.,give.opinion
"We have facilities around the world,",give.statement
"throughout China, United States now, with our plant here.",give.statement
What we're doing is we're melding two cultures together:,give.statement
the Chinese culture and the US culture.,give.statement
So we are truly a global organisation.,give.opinion
"So, we do have three different shifts",give.statement
right now that we are working with.,give.statement
"A first, second, and a third. Pretty traditional.",give.statement
You'll also have a 30-minute unpaid lunch.,give.statement
"Plus, there's two 15-minute paid breaks.",give.statement
"Plenty of opportunities, ladies and gentlemen.",give.opinion
Plenty of opportunities.,give.opinion
Is this a union shop?,closed.question
We are not.,respond.deny
It is our desire to not be.,give.statement
"But we recognise that, one, we need",give.opinion
to do things right by employees.,give.opinion
Okay? We recognise that.,give.statement
"I have, actually, 28 years experience.",give.statement
Very good.,respond.agree
"Payroll, human resources, operations, things like that.",give.statement
"I have a master's in mechanical engineering too, so...",give.statement
"Okay, good. Super.",respond.agree
Sounds like you got a lot of good skills.,give.opinion
"Well, I... Actually, I've worked",respond.agree
in all kinds of different levels of...,respond.agree
"Yeah? Okay, good.",give.statement
What we'll do is we'll take a look at your résumé. All right?,use.social.convention
Where you sit today used to be a General Motors plant.,give.statement
"This plant closed,",recall
"leaving 2,000 families unemployed.",recall
"And now, there are over 1,000 employees working here,",give.statement
with still more to be hired.,give.statement
It was a little over two years ago that this facility was a very dark,recall
and very stark reminder of the greatest economic downturn,recall
in American history since the Great Depression.,recall
"And with that, you understand the...",give.statement
"the personal impact that that has,",give.statement
individually and for the families of all those involved.,give.statement
It's been a very fast process from the very beginning.,give.opinion
"When I hired in, there was nothing in the plant.",give.statement
"And since that time, you can see, in the last six months,",give.statement
the amount of people and equipment that have come in.,give.statement
"And it's, exciting.",give.opinion
"The commitment everybody's put in, hard work.",give.statement
We're looking forward to starting production.,give.statement
"Since you've arrived in America,",give.statement
I believe you've found many things different,give.opinion
from life in China.,give.opinion
We need to get to know Americans.,give.statement
America is a place to let your personality run free.,give.opinion
"As long as you're not doing anything illegal,",give.statement
you're free to follow your heart.,give.statement
You can even joke about the president.,give.statement
Nobody will do anything to you.,give.statement
"Americans' cars are big and huge, very comfortable.",give.opinion
This represents the American sense of casualness.,give.opinion
They don't place a heavy importance on outfits and attire.,give.opinion
