U,L
Today is the debut of YG's newest girl group in seven years.,use.social.convention
Introducing BLACKPINK!,use.social.convention
♪ BLACKPINK… ♪,use.social.convention
Please give it up for BLACKPINK!,use.social.convention
"Hello, we're BLACKPINK!",use.social.convention
Our next guests are the best-charting,use.social.convention
female Korean group of all time.,use.social.convention
…wildly popular K-pop group…,use.social.convention
"K-pop sensations, BLACKPINK!",use.social.convention
♪ Hit you with that ddu-du ddu-du du ♪,misc
BLACKPINK has become,recall
the highest charting K-pop girl group ever.,recall
They also made history as they became,recall
the first K-pop girl group to perform at Coachella.,recall
"Performing it live for the first time ever on US television,",use.social.convention
here is BLACKPINK!,use.social.convention
- BLACKPINK! - BLACKPINK!,misc
"Congratulations, BLACKPINK.",use.social.convention
BLACKPINK!,misc
♪ Hit you with that ddu-du ddu-du du ♪,misc
- I'm so hungry. - Are you?,closed.question
#NAME?,x
There's a dessert. It's like a croissant with injeolmi.,deflection
Ah!,exclamation
You guys don't like injeolmi?,closed.question
It tastes really good.,give.opinion
Says the Thai girl in the car.,deflection
"Every time a new album comes, we're just excited. We're like,",give.opinion
"""Ah, yay. Finally, one more,"" you know?",closed.question
"I think we're halfway there, maybe?",open.question
"We're always halfway there. We're like, ""We have the songs…",respond.agree
"there. We just need to record them.""",respond.agree
Seeing so many people love our music,give.opinion
motivates us to try something new and different.,give.opinion
It's time for us to do some music.,give.opinion
Yeah.,respond.agree
We just have so much to show people.,give.opinion
I don't think we've done something really girly yet.,recall
"We've practiced and explored so many different things,",recall
"um, during our trainee days,",recall
and so it's just a matter of how much of that we could end up showing,recall
as BLACKPINK.,recall
"I think, for me, when I say girly, I want to do more like…",give.opinion
"like… ""Hello…""",give.opinion
Like what?,open.question
"Like, ooh…",respond.agree
Why is that delay so strong right now?,open.question
Can you bring it down a bit?,closed.question
Push it forward a bit.,give.opinion
"I'm their producer, songwriter.",use.social.convention
I've written and produced every single song that's come out so far.,use.social.convention
It's been about four years now.,recall
Our initial approach was more like…,recall
"single, smash, single, hit.",give.opinion
"Now, we feel like we need to tell more of our personal story.",give.opinion
"And I know the fans are mad. Like, ""We want more and more.""",recall
"We do have a lot in here, but…",give.opinion
we're very particular with what we put out.,give.opinion
Hello!,use.social.convention
"Oppa, you got some leather jackets going on there?",closed.question
Awesome!,exclamation
Stop acting like I overdressed today.,relax.atmosphere
I always dress like this.,relax.atmosphere
I should've had a nap today.,give.opinion
- I'll slap your wrist. Sleepy right? - I didn't get a nap.,relax.atmosphere
Ah!,relax.atmosphere
Better?,closed.question
"So, I have the…",give.statement
Lady Gaga featuring BLACKPINK that's about to come out.,give.statement
Oh!,relax.atmosphere
♪ Sour candy ♪,respond.agree
So sweet!,relax.atmosphere
We worked hard before New Year's for this.,give.opinion
♪ So-sour candy ♪,misc
♪ So-sour candy ♪,misc
♪ I'm sour candy ♪,misc
"♪ So sweet Then I get a little angry, yeah ♪",misc
♪ Sour candy… ♪,misc
"They're huge, and they're so successful.",give.opinion
I don't think any of us even expected this.,give.opinion
"Sometimes it gets to me, like, ""Oh, my God.""",quoted.speech
How do we live up to this hype?,open.question
♪ I'm hard on the outside ♪,misc
♪ But if you give me time ♪,misc
♪ Then I could make time for your love ♪,misc
♪ I'm hard on the outside ♪,misc
"♪ But if you see inside, inside, inside ♪",misc
♪ I might be messed up ♪,misc
♪ But I know what's up ♪,misc
♪ You want a real taste ♪,misc
♪ At least I'm not a fake ♪,misc
"♪ Take a bite, take a bite ♪",misc
♪ Sour candy ♪,misc
Sour candy.,give.statement
It's addictive.,give.opinion
"Take a bite, take a bite.",misc
♪ Hard on the outside… ♪,misc
"Should we re-record certain parts of ""Crazy Over You""?",closed.question
Every group has their own different cultural background,give.opinion
that makes them who they are.,give.opinion
"But the combination, that's what makes BLACKPINK unique",give.opinion
and stand out.,give.opinion
Who thinks they can nail their part in this song?,open.question
"Rosé, want to go in first for the intro?",closed.question
♪ Can't get you outta my head ♪,misc
♪ My head… ♪,misc
"Rosé, a Korean girl that was raised in Australia.",use.social.convention
"And she stays here 'til, like, six o'clock a.m. just in the studio.",give.statement
"Sometimes I'm like, ""Wow! You still here?""",recall
♪ Can't get you outta my head ♪,misc
Ooh… you really killed that one.,misc
Jisoo.,use.social.convention
Straight-up Korean girl that grew up in Korea.,give.statement
She's the unnie of the group. She's the oldest.,give.statement
♪ I'm ready for love I'm ready for love ♪,misc
She does have that professional poker face.,give.opinion
"I've known Jisoo for, let's say, a good six years.",give.statement
I've seen her cry…,recall
once.,recall
She's super smart.,give.opinion
"A lot of people might think she's book smart,",give.opinion
but I would say she's street smart.,give.opinion
"♪ I'm ready for love, I'm ready for love ♪",misc
"Oh, that scared me.",give.opinion
"Lisa, from Thailand.",use.social.convention
"She's always got that cool, calm,",give.opinion
"""it's gonna be okay, we're all good"" smile.",give.opinion
♪ I'm ready for love I'm ready for love… ♪,misc
"But when it comes to certain moments,",give.opinion
"when the music starts, when it's crunch time,",give.opinion
she has this executioner killer instinct.,give.opinion
"Jennie, born in Korea, but moved to New Zealand.",use.social.convention
She's super clear.,give.opinion
"Her opinions, her emotions.",give.opinion
She's a perfectionist.,give.opinion
"All those different cultures in one pot,",give.opinion
"it's just different how they walk, how they talk, and how they dress.",give.opinion
"And the perfect balance, how they complement each other.",give.opinion
It's fascinating.,give.opinion
"We're just Korean people trying to do music,",give.opinion
"so if Korean people make music,",open.question
it's K-pop? I don't even get it. Like…,open.question
It's Korean pop.,give.opinion
The only thing is language.,give.opinion
Why don't they do that for every country?,open.question
What is K-pop?,open.question
K-pop.,give.statement
K-pop is taking the US by storm.,give.statement
K-pop has become a worldwide cultural phenomenon.,give.opinion
The genre has been around for at least two decades.,give.statement
