U,L
"Good evening, everyone.",use.social.convention
This is Will Smith wishing you a very merry Christmas,use.social.convention
and saying welcome to The Graham Norton Show!,use.social.convention
AUDIENCE CHEERS,use.social.convention
"Hello! Hello, hello!",use.social.convention
Oh!,use.social.convention
"Oh, aren't you kind?",use.social.convention
"That's so sweet of you. Hello, good evening. Welcome, everyone.",use.social.convention
Merry Christmas!,use.social.convention
Yay!,use.social.convention
"Oh, we are feeling festive, aren't we?",closed.question
"Yes, we are. So Christmassy.",respond.agree
Has everyone got their Christmas trees up?,closed.question
"Have you, have you? AUDIENCE: Yes!",respond.agree
All right!,relax.atmosphere
I'm not the police.,relax.atmosphere
"""Yes, we have!""",recall
Can you believe some people are so stupid,closed.question
they ordered a tree too big to fit through their front door?,closed.question
"Yeah. Number 10, there.",respond.agree
"Theresa, really - measure, measure!",relax.atmosphere
But Theresa May did put a little decoration on top of that tree.,give.statement
Yeah.,give.statement
I imagine she enjoyed ramming that branch up its arse.,relax.atmosphere
"Now, did you all enjoy your office Christmas parties?",closed.question
Did you? AUDIENCE: Yes!,respond.agree
"""I don't remember.""",recall
"Now, look, I hope you remembered the golden rule -",give.opinion
"the golden rule, ladies and gentlemen -",give.opinion
don't have sex in the office.,give.statement
Don't. That's not romantic.,give.opinion
Wait until you're somewhere nice and cosy,give.statement
and the mood takes you and pop upstairs.,relax.atmosphere
"Yeah, ding-ding!",relax.atmosphere
Room for a small one?,relax.atmosphere
"Hey, let's get some guests on!",use.social.convention
"Later, we'll have music from former Keane front man Tom Chaplin.",use.social.convention
"Yes, he'll be performing his new single, Midnight Mass,",use.social.convention
a true Christmas treat -,give.opinion
"but first, no Christmas is complete",give.opinion
without this man's festive food and cheer.,give.opinion
"Here to talk about his 20th cookbook,",give.opinion
please welcome the award-winning chef and restaurateur Jamie Oliver!,use.social.convention
AUDIENCE CHEERS,use.social.convention
"Hello, sir. Lovely to see you.",use.social.convention
"Very smart, very smart. Jamie Oliver.",use.social.convention
"She's gone from soap star to Doctor Who companion,",use.social.convention
and now she stars as the Queen herself in the hit series Victoria.,use.social.convention
Please welcome Jenna Coleman!,use.social.convention
AUDIENCE CHEERS,use.social.convention
Very nice.,use.social.convention
"Jamie, Jenna, Jenna, Jamie.",use.social.convention
And he's one of the world's biggest movie stars,give.opinion
and one of our favourite guests on this show.,give.opinion
It's always a pleasure to welcome the great Will Smith!,use.social.convention
AUDIENCE CHEERS,use.social.convention
Yeah!,exclamation
Yeah!,exclamation
Yeah!,exclamation
"Well, hey, Merry Christmas, everybody.",use.social.convention
Merry Christmas!,use.social.convention
Yay! Merry Christmas!,use.social.convention
I almost wore that same jacket.,give.statement
Really?,closed.question
That would have been so embarrassing. So embarrassing.,deflection
"You would have worn it better, I think.",give.opinion
"You look Christmassy - and, actually, the two of you",deflection
"look like you're going to do something together,",give.opinion
because your tie matches your dress.,give.opinion
"We are performing tonight. Yeah, blending.",respond.agree
I look like the driver.,give.opinion
"""Where y'all headed tonight?""",recall
"So, welcome, all.",use.social.convention
Are we all ready for Christmas?,closed.question
"Mm-hm. Yes, I'm very ready. So excited, I can't believe it.",respond.agree
You're lying. Presents and food and stuff.,give.opinion
"Yeah, all that good stuff. Yeah!",respond.agree
"We could talk about Christmas for hours,",give.opinion
but I'm distracted by the makings of a cocktail.,give.opinion
"Oh, yes.",respond.agree
AUDIENCE: Ooh!,use.social.convention
"Who likes a cocktail at Christmas, everyone?",closed.question
AUDIENCE: Yeah! Do you like a cocktail?,closed.question
"I like a cocktail. Shall I endeavour? Yes, please.",respond.agree
What have you brought us?,open.question
"I like to give Britain a little tip every now and again,",respond.agree
"so you need to find yourself a sheath, right?",give.statement
"Now, this is... Whoa.",give.statement
Just a minute!,give.statement
"Hold on, hold on - I don't know if I want that drink.",relax.atmosphere
"If you go to the really posh cocktail bars,",give.statement
you get these incredible ice cubes that they hand-carve.,give.statement
"Oh, no, no, no!",relax.atmosphere
We go get a water bomb and we just split it,give.statement
and we peel it off and we get a lovely round...,give.statement
Ooh! Bear with me.,give.statement
This is what they do in the posh places.,give.opinion
Then we're going to make a Christmas negroni.,give.statement
I love this!,give.statement
APPLAUSE,use.social.convention
I think of myself as a Christmas negroni.,relax.atmosphere
LAUGHTER,use.social.convention
Only you could have said that.,give.opinion
I couldn't have got away with that one.,give.opinion
"So, negroni, I want you to think of it as medicine. OK.",give.statement
"Every one of us has someone a bit boring,",give.opinion
a bit sort of dodgy coming to the Christmas party.,give.opinion
There's always one.,give.opinion
"So what you do is you take this negroni, AKA medicine... Medicine.",give.statement
..and it turns people that are a bit problematic and boring,give.opinion
into interesting people.,give.opinion
What's going to happen? Whoa!,open.question
"So, a negroni is... Yes! What's Jamie trying to say?",open.question
"I know, right?!",respond.agree
And he's pouring three drinks.,give.statement
"This is 20 mils of Campari, 20 mils of vermouth rosso,",give.statement
which we've scented with a little cinnamon and Christmas fare. Yes!,give.statement
"And then we have a little gin,",give.statement
a little bit of clementine to get you going. Yes!,give.statement
"Are you ready for this? I'm like, come on, man!",closed.question
"Now, once you sip this, if you don't become more interesting,",give.opinion
I don't know what's going to happen. OK.,give.opinion
Go on. OK. Lovely.,give.statement
"Take one, pass it down - it's like school.",give.statement
"Yeah, go on.",respond.agree
"Oh, we have four, we have four. We have four.",give.statement
Cheers. Merry Christmas!,use.social.convention
Merry Christmas! Merry Christmas!,use.social.convention
"Merry Christmas, everyone!",use.social.convention
"This is a bit like A Christmas Carol and we are Scrooge,",give.opinion
"because I'm like, ""Merry Christmas, everybody!""",recall
It's like 600 Tiny Tims. Yes!,respond.agree
"OK. Oh, come on.",relax.atmosphere
Come on!,relax.atmosphere
"Oh, that is delicious. The world's changing.",give.opinion
"Hold on, I'll be the judge of whether or not it's delicious.",relax.atmosphere
"No, I like that.",respond.agree
It has just enough Christmas in it.,respond.agree
Here's the thing...,give.statement
"No, that's very good.",respond.agree
You want a sip? You want a sip? Hold on.,closed.question
Here we go. Uh-oh.,respond.agree
"I drank from this side, so you can drink from that side.",give.statement
You can drink from the other side.,give.statement
See what you think.,give.statement
Is this like feeding a gremlin after midnight? How's that?,relax.atmosphere
"That's good, that's good.",respond.agree
CHEERING AND APPLAUSE,use.social.convention
"Delicious. Yeah. It's good, isn't it?",closed.question
"It's nice. Yeah. No, seriously...",respond.agree
"Now, we've got our Christmas cocktail...",give.statement
HE MOUTHS,misc
LAUGHTER,use.social.convention
"Yeah, a Christmas to remember.",relax.atmosphere
That was the Christmas... Oh.,relax.atmosphere
"Jenna Coleman, you have almost turned into a Christmas tradition",give.opinion
"in yourself, in that you did the Doctor Who Christmas specials...",give.opinion
"Yes. ..then Death Comes To Pemberley,",respond.agree
"which was on at Christmas,",give.statement
