U,L
Our car,x
This programme contains some strong language.,use.social.convention
CHEERING AND APPLAUSE,use.social.convention
Thank you!,use.social.convention
Good evening!,use.social.convention
You're very welcome!,use.social.convention
I'm delighted to tell you we have a great,use.social.convention
show for you tonight.,use.social.convention
My sofa's attracted more celebrities than a dodgy offshore tax scheme.,relax.atmosphere
"Yes, everyone's talking about the Paradise Papers.",relax.atmosphere
There have even been investigations into the Royal Family's,relax.atmosphere
financial affairs.,relax.atmosphere
And you know it's bad when they start probing,relax.atmosphere
the Queen's loophole.,relax.atmosphere
The papers also suggest Prince Charles has money put away offshore.,relax.atmosphere
"Charles hasn't been able to respond, as he's currently",relax.atmosphere
out of the country...,relax.atmosphere
Visiting his money.,relax.atmosphere
Is he wearing a mankini?,closed.question
"In political news, Minister for International Development Priti",relax.atmosphere
Patel hasn't had the best of weeks.,relax.atmosphere
On Wednesday she flew back from Africa for a meeting,relax.atmosphere
"with Theresa May, and was met at the airport by a taxi driver",relax.atmosphere
holding up one of those signs.,relax.atmosphere
"Luckily, all these ministerial sackings aren't",relax.atmosphere
bothering Theresa May.,relax.atmosphere
She's just carrying on with today's cabinet meeting as usual.,relax.atmosphere
LAUGHTER,use.social.convention
"And finally, Donald Trump has been",relax.atmosphere
"visiting Asia this week, whether they like it or not.",relax.atmosphere
Turns out - not!,relax.atmosphere
South Korean protestors have taken to trolling Trump on Twitter.,relax.atmosphere
"Although interestingly, if you Google the words 'Troll'",relax.atmosphere
and 'Trump' you get this.,relax.atmosphere
LAUGHTER,use.social.convention
For Christmas!,relax.atmosphere
And that's not the only likeness of Trump that's,relax.atmosphere
been spotted this week.,relax.atmosphere
A woman in Tyneside noticed Donald Trump's face,relax.atmosphere
inside her dog's ear.,relax.atmosphere
"Earhole, arsehole.",relax.atmosphere
You decide.,relax.atmosphere
Let's get some guests on!,use.social.convention
Later we'll have music and chat from singing,use.social.convention
sensation Kelly Clarkson!,use.social.convention
She'll be performing her new single 'Love So Soft'.,use.social.convention
"But first, she's one of the UK's top comedians,",use.social.convention
"and now she's turned author with her new book,",use.social.convention
"'How To Be Champion', please welcome back Sarah Millican!",use.social.convention
CHEERING AND APPLAUSE,use.social.convention
Hello!,use.social.convention
Lovely to see you!,use.social.convention
"Sarah Millican, everybody.",use.social.convention
He's gone from Khal Drogo in Game of Thrones to Aquaman,use.social.convention
in Justice League - it's a first-time welcome,use.social.convention
to Mr Jason Momoa!,use.social.convention
CHEERING,use.social.convention
Hello!,use.social.convention
Good to see you.,use.social.convention
"And from Four Weddings and a Funeral to Notting Hill,",use.social.convention
"Love Actually and Bridget Jones, he's become one of our most beloved",use.social.convention
"stars, now playing a scene-stealing villain in Paddington 2,",use.social.convention
it's always a pleasure to welcome the great Hugh Grant!,use.social.convention
CHEERING AND APPLAUSE,use.social.convention
Very nice to see you.,use.social.convention
Often people come in from superhero movies and they're just,use.social.convention
"sort of like actors, but you're it!",use.social.convention
How tall are you?,closed.question
"I think 6'5"".",respond.agree
"6'5""!",relax.atmosphere
Yeah.,respond.agree
Wow.,relax.atmosphere
"It's funny because my dad's like 5'9"" and my mum's like 5'8"".",give.statement
So where did you come from them?,closed.question
LAUGHTER,use.social.convention
Questions were asked!,relax.atmosphere
Sarah Millican.,use.social.convention
Very lovely to have you here.,use.social.convention
Thanks.,use.social.convention
Obviously I'm sure you enjoy Jason Momoa's work.,give.statement
But I know you are a fan of Mr Grant.,give.statement
Yes.,respond.agree
Hi!,use.social.convention
LAUGHTER,use.social.convention
Shut up!,relax.atmosphere
"Of course, isn't everybody?",closed.question
CHEERING,use.social.convention
No.,relax.atmosphere
You're so nice but...,relax.atmosphere
Lots of people hate me.,relax.atmosphere
LAUGHTER,use.social.convention
My son hates me.,relax.atmosphere
He came to see Paddington 2 the other day and all he said,recall
"throughout the whole film is, why is daddy in it so much?",recall
LAUGHTER,use.social.convention
My favourite is Sense and Sensibility I love it.,give.opinion
I watch it...,give.statement
Is weekly bad?,give.statement
LAUGHTER,use.social.convention
"No, I watch it weekly too.",relax.atmosphere
Do you really watch it that often?,closed.question
"It's one of my, it's a comfort film, let's call it that, of three.",give.statement
Do you want to know what the other ones are?,closed.question
"Yes, very much.",respond.agree
"Sense and Sensibility, Muppets Christmas Carol,",give.statement
regardless of what time of year.,give.statement
And San Andreas.,give.statement
Which is a disaster film with The Rock.,give.statement
LAUGHTER It's quite a good mix of things.,use.social.convention
"Yes, mix it up!",relax.atmosphere
"Now, Jason, you've only just got to Britain.",give.statement
"Yeah, I've been here for probably a week.",respond.agree
OK.,respond.agree
But you seem to like it here.,give.opinion
You go out and about.,give.statement
Yes.,respond.agree
I'm known for my shenanigans and...,respond.agree
Enjoying the scenery.,give.statement
Yes.,respond.agree
We spotted you around London with your widow,give.statement
from Game of Thrones.,give.statement
Yes.,respond.agree
Emilia Clarke posted this picture of the two of you.,give.statement
What a nice picture!,use.social.convention
When was this?,closed.question
Last week?,closed.question
That was like three days ago.,respond.agree
"I flew over to Belfast, I got back from Belfast right now.",recall
So Belfast in November.,give.statement
"Why are you wearing a vest, Jason?",closed.question
LAUGHTER,use.social.convention
Is it because he looks like this?,closed.question
This is the first time I ever wore a turtleneck.,give.statement
My mother's going to be very proud of me.,give.statement
But I'm going to be close to peeling this off and getting the...,give.statement
I'm fine with that!,relax.atmosphere
CHEERING,use.social.convention
I get hot!,relax.atmosphere
Don't let us stop you.,relax.atmosphere
Let's all go topless!,relax.atmosphere
Come on.,relax.atmosphere
CHEERING,use.social.convention
But fans must go crazy when they see,give.opinion
the two of you together.,give.opinion
I go crazy when I see her.,respond.agree
"Do they want you to start talking in, is it Dothraki?",closed.question
"Dothraki, yeah.",respond.agree
It's all nonsense but you do speak some Dothraki.,closed.question
I've been known to say a few things.,respond.agree
Go on then.,relax.atmosphere
LAUGHTER,use.social.convention
For the ladies...,relax.atmosphere
OK!,relax.atmosphere
"Sorry, I know I love you but sorry.",relax.atmosphere
Oh!,relax.atmosphere
SPEAKS DOTHRAKI.,misc
And for the gentleman...,relax.atmosphere
Oh yes!,relax.atmosphere
LAUGHTER,use.social.convention
SPEAKS DOTHRAKI.,misc
He's got so much more to say to men!,relax.atmosphere
LAUGHTER,use.social.convention
APPLAUSE,use.social.convention
"Listen, the first film we're going to talk about tonight",give.statement
is Hugh Grant starring in Paddington 2.,give.statement
It opens tonight and I loved the first one so I think people,give.statement
"are kind of worried about this but honestly, it's as good",give.opinion
"if not better and you are brilliant in it,",give.opinion
Hugh Grant.,give.opinion
Who do you play?,closed.question
"Well, I...",deflection
I got a letter with a script saying we're making Paddington 2,recall
and there's this part of an extremely self,recall
obsessed ex-famous actor now fallen on hard times...,recall
LAUGHTER,use.social.convention
And I was a fraction hurt.,recall
But it was a very funny script and in a way it was therapeutic.,give.opinion
I have deep reservoirs of actual narcissism and neurosis and anger,give.statement
and hatred of others that I was able to tap.,give.statement
Did you base it on specific actors?,closed.question
"Well, as I said, a lot of it came from me and in the way",respond.agree
a self-portrait but there were actors from my past.,respond.agree
In the 80s I did theatre.,give.statement
Remember that.,relax.atmosphere
I remember that!,relax.atmosphere
There were some brilliant characters.,give.opinion
"A wonderful old boy in the theatre who, he was so good and the show",recall
would start at 8pm but at 3pm from his dressing room,recall
"you would start to hear neemeeneemeeneemee,",recall
"maaaaaa, maaaaaa, scrunchy mouse, loud lion!",recall
LAUGHTER,use.social.convention
Loud lion!,relax.atmosphere
And as a result he had a wonderful voice and he was just marvellously,recall
smooth and seamlessly pervy.,recall
He used to...,recall
I was sharing a dressing room with another young actor,recall
"and he always used to knock on our door before the show,",recall
pretending it was to say good luck.,recall
But actually it was to see us in our pants.,recall
LAUGHTER,use.social.convention
Different times!,relax.atmosphere
LAUGHTER,use.social.convention
"Meanwhile, in Paddington 2...",relax.atmosphere
LAUGHTER,use.social.convention
APPLAUSE,use.social.convention
Because you are Phoenix...,give.statement
Buchanan.,give.statement
And you are the little bear's nemesis.,give.statement
"That's right, yes.",respond.agree
He's living a happy life now with the Browns,give.statement
wherever it is in London.,give.statement
Notting Hill.,give.statement
And one of his neighbours is this used to be famous theatre actor,give.statement
called Phoenix Buchanan.,give.statement
"And they end up wanting the same thing in life,",give.statement
they want this pop-up book which turns out to be,give.statement
a treasure map.,give.statement
And it ends up with me basically putting him,give.statement
in prison trying to kill him.,give.statement
It sounds very dark!,relax.atmosphere
Putting him in prison...,relax.atmosphere
There are dark bits.,respond.agree
"Yeah, there are dark bits.",respond.agree
But it's all been very confusing for me because Paddington Bear,give.opinion
"is voiced by Ben Whishaw, who I'm also working",give.statement
"with at the moment in a thing about Jeremy Thorpe,",give.statement
"he's playing Norman Scott, my lover.",give.statement
"So I've spent all year trying to either kill,",relax.atmosphere
imprison or bugger Ben Whishaw!,relax.atmosphere
LAUGHTER,use.social.convention
Don't get them mixed up.,relax.atmosphere
That's the thing!,relax.atmosphere
It'll make the children cry!,relax.atmosphere
Shall we look at a clip?,closed.question
LAUGHTER,use.social.convention
Have I done a bad job of setting the film?,closed.question
"No, you haven't!",respond.deny
It's a sunny and lovely film!,relax.atmosphere
But in all seriousness...,relax.atmosphere
LAUGHTER,use.social.convention
"Because I hate my films normally, I can't",give.statement
bear to watch them.,give.statement
"But I will say, I can't find a flaw in this one, it's really good.",give.opinion
It's so good.,give.opinion
It is so good.,respond.agree
I'm very proud of it.,respond.agree
"Yes, you should be.",give.opinion
Very good!,respond.agree
This is a charming clip of your character meeting the little,give.statement
bear for the first time.,give.statement
"So, I'm going to ask one of you to come up",give.statement
here and open the fair.,give.statement
Volunteers.,closed.question
Anyone?,closed.question
Eenie meanie minie...,misc
Bear.,relax.atmosphere
"Let's have the young bear, why not?",closed.question
"Come, come young ursine.",relax.atmosphere
"Up here, my furry friend.",give.statement
"Very good, very good.",give.statement
"Now, your name is?",closed.question
Paddington Brown.,respond.agree
"Oh, well, of course it is, you are my new",give.statement
neighbour!,give.statement
You live with Henry and Mary and the great Mrs...,give.statement
"Now, then.",give.statement
I suppose you know who I am?,closed.question
"Oh, yes.",respond.agree
You're a very famous actor.,give.opinion
"Oh, poo.",give.statement
Or used to be.,give.statement
Now you do dog food commercials.,give.statement
A man has to eat.,respond.agree
"What, dog food?",closed.question
"Very, very funny.",use.social.convention
APPLAUSE,use.social.convention
"I can't remember, have you done this before in another",give.statement
"film, to act with...",give.statement
"I think children have gone to bed, hopefully they have by now,",give.statement
obviously the bear isn't there.,give.statement
"I'm sorry, what?",relax.atmosphere
"I must say, my 89-year-old father came to the premiere the other day",give.statement
"and he did say to me halfway through the film,",recall
"""Is that a real bear?""",recall
"Dad, it talks!",relax.atmosphere
"But it is very lifelike, so I suppose...",relax.atmosphere
But what was there?,closed.question
Was there anything there?,closed.question
"Well, no, sometimes there's a stick, sometimes there's a wonderful very",respond.deny
"short actress, sometimes, most frightening of all,",recall
there's a bear's head on a stick.,recall
It looks like a kind of warning to bears.,relax.atmosphere
"And in this film, you know, you kind of think, a light",give.statement
"children's film, but your range, your range in this film,",give.opinion
"the accents, the make-up.",give.opinion
It's a proper tour de force.,give.opinion
"Well, yes, a lot of characters.",respond.agree
They've released stills of some of them.,give.statement
"There you are, a homeless man.",give.statement
Well...,relax.atmosphere
Magwitch from Great Expectations.,give.statement
Here you are as a train conductor.,give.statement
Terrifying.,relax.atmosphere
"And then perhaps, most touching and beautiful all, there you are.",relax.atmosphere
LAUGHTER,use.social.convention
Yeah.,relax.atmosphere
Were you very involved in creating the looks?,closed.question
Fairly involved.,respond.agree
"The big surprise is, you never know which costume",give.opinion
is going to get you going.,give.opinion
"Maybe that's age as well, something about being a nun",give.opinion
was slightly arousing!,relax.atmosphere
You don't know.,relax.atmosphere
Yeah.,relax.atmosphere
I had to wear handcuffs in the Jeremy Thorpe thing the other,recall
"day and I thought, hello!",relax.atmosphere
"Still, life's to be lived!",relax.atmosphere
"Because, Jason, the characters you've played have been so iconic,",give.opinion
people like to dress up as them.,give.opinion
So we've got a picture of you and Emelia as the Drogos.,give.statement
That's from the thing.,relax.atmosphere
The Drogos!,relax.atmosphere
"What, you're Mr and Mrs Smith Drogo, aren't you?",closed.question
"Yes, yes!",respond.agree
They're a lovely family!,give.statement
"The Drogos, haven't heard that before!",relax.atmosphere
"You know, the Drogos, the one with the Dragons!",relax.atmosphere
"They're coming over tonight, the Drogos!",relax.atmosphere
I hope they don't bring that bloody dragon!,relax.atmosphere
"So that is, that's actual Game of Thrones with professional make up",give.statement
and costumes and everything.,give.statement
"So bear in mind, that's real thing.",give.statement
This is just a couple at home who have tried to recreate this.,give.statement
Pretty amazing.,give.opinion
LAUGHTER,use.social.convention
Is it like looking in a mirror?,closed.question
"The attention to detail's marvellous, isn't it?",relax.atmosphere
I particularly like what they've done with the room.,relax.atmosphere
"Oh, dear.",relax.atmosphere
"Jason Mamoa's film is Justice League, ladies and gentlemen.",give.statement
CHEERING,use.social.convention
"Yes, I know.",respond.agree
People have been waiting for Justice League.,give.opinion
It opens next Friday.,give.statement
This is a DC Comics supergroup and this is your first real,give.statement
go at being Aquaman.,give.statement
We have sort of seen you.,give.statement
"Yeah, we haven't, so, it's, we'll see if people like it.",respond.agree
"They're all there, there's the Flash, Wonder Woman, Batman,",give.statement
"Batman, Cyborg and you, Aquaman.",give.statement
Why?,closed.question
"Why, Aquaman, have you all been joined together in this way?",closed.question
The world as we know it is going to end.,respond.agree
No!,relax.atmosphere
Yes!,relax.atmosphere
I hate to break the news to you.,relax.atmosphere
Me and my friends kind of save you.,relax.atmosphere
We're so grateful!,relax.atmosphere
"In terms of the superpowers, you're all super heroes,",give.statement
