U,L
"All right, let's do this one last time.",exclamation
My name is Peter Parker.,use.social.convention
I was bitten by a radioactive spider.,recall
And for 10 years,recall
I've been the one and only.,give.statement
Spider-Man.,give.statement
I'm pretty sure you know the rest.,give.opinion
With great power comes great responsibility.,inner.dialogue
"I saved a bunch of people, fell in love, saved the city.",inner.dialogue
And then I saved the city again.,inner.dialogue
And again and again,inner.dialogue
and again.,inner.dialogue
"And I did, uh",inner.dialogue
I did this.,inner.dialogue
Get on up Get yourself together,misc
Drive that funky soul,misc
We don't really talk about this.,inner.dialogue
"Look, I'm a comic book. I'm a cereal.",inner.dialogue
Did a Christmas album.,inner.dialogue
I have an excellent theme song.,inner.dialogue
Spider-man Spider-man,misc
And a so-so Popsicle.,inner.dialogue
"I mean, I've looked worse.",inner.dialogue
But after everything,inner.dialogue
I still love being Spider-Man.,inner.dialogue
"I mean, who wouldn't?",closed.question
So no matter how many hits I take,give.statement
I always find a way to come back.,give.statement
Because the only thing standing between this city and oblivion,give.opinion
is me.,give.opinion
There's only one Spider-Man.,give.opinion
And you're lookin' at him.,give.statement
Ooh,misc
"Ooh, ooh, ooh",misc
Needless to say,misc
Nevertheless Callin' it quits,misc
"Now, baby, I'm a wreck Miles!",misc
"Miles, papá, time for school!",give.statement
Miles!,give.statement
Miles!,give.statement
Miles! Yeah! Yeah?,closed.question
Are you finished packing for school?,closed.question
Yeah.,respond.agree
Just ironing my last shirt.,give.statement
Speaks Spanish,misc
You're a sunflower,misc
Come on! You a grown man now.,give.statement
Let's show these teachers that. Miles!,give.statement
Where's my laptop? Speaks Spanish,closed.question
"If you want me to drive you,",give.statement
"we gotta go now. No, Dad. No, no, no, I-I'll walk.",respond.deny
Personal chauffeur going once. It's okay.,give.statement
Speaks Spanish,misc
Miles! Gotta go. In a minute!,give.statement
Gotta go. In a minute!,give.statement
"Mom, I gotta go.",give.statement
In a minute.,give.statement
Speaks Spanish,misc
"See you Friday. Okay, mummy.",give.statement
Speaks Spanish,misc
"Wow! Look who's back. Yo, what's going on, bro?",use.social.convention
"Hey, I'm just walking by. How you doin'?",use.social.convention
Speaks Spanish,misc
"Yo, Miles! You feel that earthquake last night?",closed.question
What you talkin' about? I slept like a baby last night.,respond.deny
