U,L
This is the first one that I started when I was 13.,recall
"And it says,",recall
"""My life, my career, my... my dream...",recall
"...my reality.""",recall
"For a while, I wrote with quill and ink.",recall
"That was a phase I went through. Like, I had a glass quill",recall
"with, like, an ink jet.",recall
"You know, my entire moral code, as a kid and now,",recall
is a need to be thought of as good.,recall
That's dangerous. That's not... That's dangerous for you.,give.opinion
It was all I wrote about. It was all I wanted.,recall
It was the complete and total...,recall
belief system that I subscribed to as a kid.,recall
Do the right thing.,give.statement
Do the good thing.,give.statement
"And obviously, I'm not a perfect person by any stretch,",give.statement
"but overall, the main thing that I always tried to be was...",recall
um...,misc
"like, just...",misc
"like, a good girl.",give.statement
"And now, to perform the national anthem,",use.social.convention
"a multitalented performing artist from Reading, Pennsylvania.",use.social.convention
Please welcome Taylor Swift!,use.social.convention
"Hey, everybody.",use.social.convention
#NAME?,x
"You know,",recall
"one of my first memories of country music was when I was six years old,",recall
and my parents took me to see LeAnn Rimes in concert.,recall
Guitar!,relax.atmosphere
I... am...,give.statement
happy!,give.statement
...twelve-year-old Taylor Swift!,use.social.convention
Whoo!,use.social.convention
"Hey, everybody. I'm Taylor.",use.social.convention
I'd been trained to be happy when you get a lot of praise.,give.opinion
"Hi, Taylor.",use.social.convention
"See, that's... that's Sony Music, right there.",give.statement
Sony is gonna listen to her CD today.,give.statement
"I had that praise of, ""Taylor, you're doing a good job at your work.""",recall
"Hey, this is Taylor Swift, and thanks for listening to Cat Country 98.1.",use.social.convention
"""You're doing a good job at being a songwriter.",recall
"You're doing a good job at being a musician.""",recall
"Like, those pats on the head were all I lived for.",recall
"No one's going to be watching this 'cause it's my home video, but...",recall
"right here, look at that.",recall
Look at that. Sixty...,recall
...60 on the Billboard charts right there.,recall
I was so fulfilled by approval...,give.opinion
that...,recall
that was it.,recall
I became the person who everyone wanted me to be.,recall
♪ In the middle of the night ♪,misc
♪ In my dreams ♪,misc
"♪ You should see the things we do, baby ♪",misc
♪ Ooh ♪,misc
♪ In the middle of the night ♪,misc
♪ In my dreams ♪,misc
♪ I know I'm gonna be with you ♪,misc
♪ So I take my time ♪,misc
"♪ Baby, let the games begin ♪",misc
♪ Let the games begin Let the games begin ♪,misc
♪ Oh-oh! ♪,misc
"♪ Baby, let the games begin ♪",misc
♪ Let the games begin ♪,misc
♪ Let the games begin ♪,misc
