U,L
This programme contains some strong language.,use.social.convention
"Good evening, I'm Will Ferrell.",use.social.convention
And I'm Mark Wahlberg.,use.social.convention
Welcome to the Graham Norton Show!,use.social.convention
Hello!,use.social.convention
It's me!,use.social.convention
Hi!,use.social.convention
Oh!,use.social.convention
Oh!,use.social.convention
You're so lovely!,use.social.convention
Thank you.,use.social.convention
Hello!,use.social.convention
"Hello, good evening to you all.",use.social.convention
You're all very welcome.,use.social.convention
We have got a great show for you tonight.,use.social.convention
Not only have we got four - count 'em - four Hollywood hunks,give.opinion
ladies and gentlemen.,use.social.convention
"They're back there, they are.",give.opinion
"But also joining them later, the new Strictly head judge",give.opinion
Shirley Ballas will be here!,give.opinion
I know!,use.social.convention
Speaking and that.,use.social.convention
Here's Shirley in action.,give.opinion
Look at that!,give.opinion
So sexy.,give.opinion
She's even got Bruno interested.,give.opinion
Strictly has got some amazing professional dancers.,give.opinion
"There's some - Pasha, Aljaz, Giovanni.",give.opinion
"God knows what they'll do after Brexit, but anyway...",relax.atmosphere
They'll be dancing with brooms!,relax.atmosphere
And of course there was the usual trip to Blackpool this year.,give.opinion
You can always tell when Strictly's been to Blackpool.,give.opinion
"There's a tell-tale sign outside the hotel, when they've washed",relax.atmosphere
off their fake tans.,relax.atmosphere
Let's get some guests on!,use.social.convention
Later we'll be meeting Shirley Ballas and we'll have music,give.opinion
and chat from pop trailblazer Kesha.,give.opinion
Yeah!,use.social.convention
But we start tonight with four stars from the new hit comedy,give.opinion
movie Daddy's Home 2.,give.opinion
Our first father and son duo - one is a double,give.opinion
"Oscar-winning actor and director, the other is the star of Boogie",give.opinion
"Nights, The Departed and Ted - please welcome Mark",use.social.convention
Wahlberg and Mel Gibson!,use.social.convention
"That's them, that is!",use.social.convention
Hello!,use.social.convention
Very good to see you.,use.social.convention
Hello.,use.social.convention
You're just there.,use.social.convention
That's them.,use.social.convention
Have a seat.,use.social.convention
"And also playing father and son, one is the Emmy-winning star",give.opinion
"of The Crown and 3rd Rock from the Sun, the other",give.opinion
"is the comedy genius behind Anchorman, Elf and Stepbrothers.",give.opinion
Please welcome John Lithgow and Will Ferrell!,use.social.convention
So sprightly. So sprightly.,use.social.convention
"Hello, I haven't seen you in ages.",use.social.convention
Yeah!,use.social.convention
Woo! Woo!,use.social.convention
Wooooo!,use.social.convention
Woo! Woo!,use.social.convention
Wooooo!,use.social.convention
We could just do that all night long.,use.social.convention
"Some weeks, wouldn't it just be lovely for 45 minutes, just whoop?",relax.atmosphere
Wooooo!,relax.atmosphere
"Hello, welcome, all.",use.social.convention
"You are touring the world, promoting this movie.",give.opinion
"Is it fun, because it is the father-son, father-son,",give.opinion
is it a bit like a family holiday?,closed.question
Is it kind of stressful?,closed.question
I wouldn't call it a holiday.,respond.deny
"But these guys are great fun, travelling as press companions.",give.opinion
But making the movie is easy and promoting it is hard.,give.opinion
There's no doubt about it.,give.opinion
"Don't say that, John!",relax.atmosphere
Don't let light in on the magic.,relax.atmosphere
We've saved you for last.,give.opinion
"Don't think we've had any stress, really, the four of us, right?",closed.question
Why are you asking me?,relax.atmosphere
I'm asking the group as a whole.,relax.atmosphere
What did I do?,open.question
You didn't do anything.,respond.deny
There has been a lot of stress.,give.opinion
"This is one of the few experiences were everybody gets along,",give.opinion
it's been a lovely experience.,give.opinion
"Usually you're shooting a movie, people are running",give.opinion
right to their trailer.,give.opinion
